TradeTag,Link,DateAdded,InsightOneLiner,HowToEvidence,Status
,,,,"Run the Timed Carry drill 3× and attach all logs.",unused
,,,,"Complete print/nameplate worksheets.",unused
,,,,"Upload a photo (no faces) of your tool layout and the checklist.",unused
,,,,Document practice sessions with dates and verifier initials.,unused
,,,,Attach certification card or completion record.,unused
,,,,"Complete and submit drill logs with times, distances, and verifier sign-off.",unused
,,,,Maintain study log with module completions and scores.,unused
,,,,"Create checklist documentation with photo evidence (no faces).",unused
,,,,Record measurements and tolerances with verifier confirmation.,unused
,,,,"Log practice counts and maintain supervisor sign-offs.",unused
